"iteration","lm_4layers_tense_232-232 - _step","lm_4layers_tense_232-232 - _step__MIN","lm_4layers_tense_232-232 - _step__MAX","lm_4layers_tense_232-232 - val_aux","lm_4layers_tense_232-232 - val_aux__MIN","lm_4layers_tense_232-232 - val_aux__MAX","lm_4layers_tense_232-232 - test_aux","lm_4layers_tense_232-232 - test_aux__MIN","lm_4layers_tense_232-232 - test_aux__MAX","lm_4layers_tense_222-222 - _step","lm_4layers_tense_222-222 - _step__MIN","lm_4layers_tense_222-222 - _step__MAX","lm_4layers_tense_222-222 - val_aux","lm_4layers_tense_222-222 - val_aux__MIN","lm_4layers_tense_222-222 - val_aux__MAX","lm_4layers_tense_222-222 - test_aux","lm_4layers_tense_222-222 - test_aux__MIN","lm_4layers_tense_222-222 - test_aux__MAX","lm_4layers_tense_212-212 - _step","lm_4layers_tense_212-212 - _step__MIN","lm_4layers_tense_212-212 - _step__MAX","lm_4layers_tense_212-212 - val_aux","lm_4layers_tense_212-212 - val_aux__MIN","lm_4layers_tense_212-212 - val_aux__MAX","lm_4layers_tense_212-212 - test_aux","lm_4layers_tense_212-212 - test_aux__MIN","lm_4layers_tense_212-212 - test_aux__MAX","lm_4layers_tense_202-202 - _step","lm_4layers_tense_202-202 - _step__MIN","lm_4layers_tense_202-202 - _step__MAX","lm_4layers_tense_202-202 - val_aux","lm_4layers_tense_202-202 - val_aux__MIN","lm_4layers_tense_202-202 - val_aux__MAX","lm_4layers_tense_202-202 - test_aux","lm_4layers_tense_202-202 - test_aux__MIN","lm_4layers_tense_202-202 - test_aux__MAX","lm_4layers_tense_192-192 - _step","lm_4layers_tense_192-192 - _step__MIN","lm_4layers_tense_192-192 - _step__MAX","lm_4layers_tense_192-192 - val_aux","lm_4layers_tense_192-192 - val_aux__MIN","lm_4layers_tense_192-192 - val_aux__MAX","lm_4layers_tense_192-192 - test_aux","lm_4layers_tense_192-192 - test_aux__MIN","lm_4layers_tense_192-192 - test_aux__MAX","lm_4layers_tense_182-182 - _step","lm_4layers_tense_182-182 - _step__MIN","lm_4layers_tense_182-182 - _step__MAX","lm_4layers_tense_182-182 - val_aux","lm_4layers_tense_182-182 - val_aux__MIN","lm_4layers_tense_182-182 - val_aux__MAX","lm_4layers_tense_182-182 - test_aux","lm_4layers_tense_182-182 - test_aux__MIN","lm_4layers_tense_182-182 - test_aux__MAX","lm_4layers_tense_152-152 - _step","lm_4layers_tense_152-152 - _step__MIN","lm_4layers_tense_152-152 - _step__MAX","lm_4layers_tense_152-152 - val_aux","lm_4layers_tense_152-152 - val_aux__MIN","lm_4layers_tense_152-152 - val_aux__MAX","lm_4layers_tense_152-152 - test_aux","lm_4layers_tense_152-152 - test_aux__MIN","lm_4layers_tense_152-152 - test_aux__MAX","lm_4layers_tense_142-142 - _step","lm_4layers_tense_142-142 - _step__MIN","lm_4layers_tense_142-142 - _step__MAX","lm_4layers_tense_142-142 - val_aux","lm_4layers_tense_142-142 - val_aux__MIN","lm_4layers_tense_142-142 - val_aux__MAX","lm_4layers_tense_142-142 - test_aux","lm_4layers_tense_142-142 - test_aux__MIN","lm_4layers_tense_142-142 - test_aux__MAX","lm_4layers_tense_172-172 - _step","lm_4layers_tense_172-172 - _step__MIN","lm_4layers_tense_172-172 - _step__MAX","lm_4layers_tense_172-172 - val_aux","lm_4layers_tense_172-172 - val_aux__MIN","lm_4layers_tense_172-172 - val_aux__MAX","lm_4layers_tense_172-172 - test_aux","lm_4layers_tense_172-172 - test_aux__MIN","lm_4layers_tense_172-172 - test_aux__MAX","lm_4layers_tense_132-132 - _step","lm_4layers_tense_132-132 - _step__MIN","lm_4layers_tense_132-132 - _step__MAX","lm_4layers_tense_132-132 - val_aux","lm_4layers_tense_132-132 - val_aux__MIN","lm_4layers_tense_132-132 - val_aux__MAX","lm_4layers_tense_132-132 - test_aux","lm_4layers_tense_132-132 - test_aux__MIN","lm_4layers_tense_132-132 - test_aux__MAX","lm_4layers_tense_162-162 - _step","lm_4layers_tense_162-162 - _step__MIN","lm_4layers_tense_162-162 - _step__MAX","lm_4layers_tense_162-162 - val_aux","lm_4layers_tense_162-162 - val_aux__MIN","lm_4layers_tense_162-162 - val_aux__MAX","lm_4layers_tense_162-162 - test_aux","lm_4layers_tense_162-162 - test_aux__MIN","lm_4layers_tense_162-162 - test_aux__MAX","lm_4layers_tense_112-112 - _step","lm_4layers_tense_112-112 - _step__MIN","lm_4layers_tense_112-112 - _step__MAX","lm_4layers_tense_112-112 - val_aux","lm_4layers_tense_112-112 - val_aux__MIN","lm_4layers_tense_112-112 - val_aux__MAX","lm_4layers_tense_112-112 - test_aux","lm_4layers_tense_112-112 - test_aux__MIN","lm_4layers_tense_112-112 - test_aux__MAX","lm_4layers_tense_102-102 - _step","lm_4layers_tense_102-102 - _step__MIN","lm_4layers_tense_102-102 - _step__MAX","lm_4layers_tense_102-102 - val_aux","lm_4layers_tense_102-102 - val_aux__MIN","lm_4layers_tense_102-102 - val_aux__MAX","lm_4layers_tense_102-102 - test_aux","lm_4layers_tense_102-102 - test_aux__MIN","lm_4layers_tense_102-102 - test_aux__MAX","lm_4layers_tense_122-122 - _step","lm_4layers_tense_122-122 - _step__MIN","lm_4layers_tense_122-122 - _step__MAX","lm_4layers_tense_122-122 - val_aux","lm_4layers_tense_122-122 - val_aux__MIN","lm_4layers_tense_122-122 - val_aux__MAX","lm_4layers_tense_122-122 - test_aux","lm_4layers_tense_122-122 - test_aux__MIN","lm_4layers_tense_122-122 - test_aux__MAX","lm_4layers_tense_42-42 - _step","lm_4layers_tense_42-42 - _step__MIN","lm_4layers_tense_42-42 - _step__MAX","lm_4layers_tense_42-42 - val_aux","lm_4layers_tense_42-42 - val_aux__MIN","lm_4layers_tense_42-42 - val_aux__MAX","lm_4layers_tense_42-42 - test_aux","lm_4layers_tense_42-42 - test_aux__MIN","lm_4layers_tense_42-42 - test_aux__MAX","lm_4layers_tense_62-62 - _step","lm_4layers_tense_62-62 - _step__MIN","lm_4layers_tense_62-62 - _step__MAX","lm_4layers_tense_62-62 - val_aux","lm_4layers_tense_62-62 - val_aux__MIN","lm_4layers_tense_62-62 - val_aux__MAX","lm_4layers_tense_62-62 - test_aux","lm_4layers_tense_62-62 - test_aux__MIN","lm_4layers_tense_62-62 - test_aux__MAX","lm_4layers_tense_82-82 - _step","lm_4layers_tense_82-82 - _step__MIN","lm_4layers_tense_82-82 - _step__MAX","lm_4layers_tense_82-82 - val_aux","lm_4layers_tense_82-82 - val_aux__MIN","lm_4layers_tense_82-82 - val_aux__MAX","lm_4layers_tense_82-82 - test_aux","lm_4layers_tense_82-82 - test_aux__MIN","lm_4layers_tense_82-82 - test_aux__MAX","lm_4layers_tense_52-52 - _step","lm_4layers_tense_52-52 - _step__MIN","lm_4layers_tense_52-52 - _step__MAX","lm_4layers_tense_52-52 - val_aux","lm_4layers_tense_52-52 - val_aux__MIN","lm_4layers_tense_52-52 - val_aux__MAX","lm_4layers_tense_52-52 - test_aux","lm_4layers_tense_52-52 - test_aux__MIN","lm_4layers_tense_52-52 - test_aux__MAX","lm_4layers_tense_72-72 - _step","lm_4layers_tense_72-72 - _step__MIN","lm_4layers_tense_72-72 - _step__MAX","lm_4layers_tense_72-72 - val_aux","lm_4layers_tense_72-72 - val_aux__MIN","lm_4layers_tense_72-72 - val_aux__MAX","lm_4layers_tense_72-72 - test_aux","lm_4layers_tense_72-72 - test_aux__MIN","lm_4layers_tense_72-72 - test_aux__MAX","lm_4layers_tense_92-92 - _step","lm_4layers_tense_92-92 - _step__MIN","lm_4layers_tense_92-92 - _step__MAX","lm_4layers_tense_92-92 - val_aux","lm_4layers_tense_92-92 - val_aux__MIN","lm_4layers_tense_92-92 - val_aux__MAX","lm_4layers_tense_92-92 - test_aux","lm_4layers_tense_92-92 - test_aux__MIN","lm_4layers_tense_92-92 - test_aux__MAX"
"120000","120079","120079","120079","1","1","1","0.7365","0.7365","0.7365","120079","120079","120079","1","1","1","0.865","0.865","0.865","120079","120079","120079","0.997","0.997","0.997","0.888","0.888","0.888","120079","120079","120079","0.999","0.999","0.999","0.959","0.959","0.959","120079","120079","120079","0.999","0.999","0.999","0.9455","0.9455","0.9455","120079","120079","120079","0.999","0.999","0.999","0.959","0.959","0.959","120079","120079","120079","0.998","0.998","0.998","0.95","0.95","0.95","120079","120079","120079","1","1","1","0.4835","0.4835","0.4835","120079","120079","120079","0.999","0.999","0.999","0.9405","0.9405","0.9405","120079","120079","120079","1","1","1","0.1515","0.1515","0.1515","120079","120079","120079","0.997","0.997","0.997","0.808","0.808","0.808","120079","120079","120079","1","1","1","0.802","0.802","0.802","120079","120079","120079","0.996","0.996","0.996","0.711","0.711","0.711","120079","120079","120079","1","1","1","0.86","0.86","0.86","120079","120079","120079","1","1","1","0.9985","0.9985","0.9985","120079","120079","120079","1","1","1","0.2085","0.2085","0.2085","120079","120079","120079","0.994","0.994","0.994","0.7615","0.7615","0.7615","120079","120079","120079","1","1","1","0.7905","0.7905","0.7905","120079","120079","120079","0.997","0.997","0.997","0.9845","0.9845","0.9845","120079","120079","120079","0.998","0.998","0.998","0.783","0.783","0.783"
"123000","123081","123081","123081","1","1","1","0.628","0.628","0.628","123081","123081","123081","0.998","0.998","0.998","0.717","0.717","0.717","123081","123081","123081","1","1","1","0.9765","0.9765","0.9765","123081","123081","123081","1","1","1","0.938","0.938","0.938","123081","123081","123081","1","1","1","0.4335","0.4335","0.4335","123081","123081","123081","1","1","1","0.921","0.921","0.921","123081","123081","123081","0.998","0.998","0.998","0.9425","0.9425","0.9425","123081","123081","123081","0.999","0.999","0.999","0.6065","0.6065","0.6065","123081","123081","123081","0.998","0.998","0.998","0.96","0.96","0.96","123081","123081","123081","0.999","0.999","0.999","0.368","0.368","0.368","123081","123081","123081","0.999","0.999","0.999","0.886","0.886","0.886","123081","123081","123081","0.998","0.998","0.998","0.805","0.805","0.805","123081","123081","123081","1","1","1","0.7895","0.7895","0.7895","123081","123081","123081","0.999","0.999","0.999","0.8445","0.8445","0.8445","123081","123081","123081","1","1","1","0.99","0.99","0.99","123081","123081","123081","0.999","0.999","0.999","0.5425","0.5425","0.5425","123081","123081","123081","1","1","1","0.8105","0.8105","0.8105","123081","123081","123081","1","1","1","0.9835","0.9835","0.9835","123081","123081","123081","0.998","0.998","0.998","0.8935","0.8935","0.8935","123081","123081","123081","0.999","0.999","0.999","0.787","0.787","0.787"
"126000","126083","126083","126083","1","1","1","0.525","0.525","0.525","126083","126083","126083","0.997","0.997","0.997","0.8325","0.8325","0.8325","126083","126083","126083","0.999","0.999","0.999","0.999","0.999","0.999","126083","126083","126083","0.998","0.998","0.998","0.9835","0.9835","0.9835","126083","126083","126083","0.998","0.998","0.998","0.7965","0.7965","0.7965","126083","126083","126083","0.999","0.999","0.999","0.988","0.988","0.988","126083","126083","126083","0.996","0.996","0.996","0.8485","0.8485","0.8485","126083","126083","126083","0.999","0.999","0.999","0.788","0.788","0.788","126083","126083","126083","1","1","1","0.8725","0.8725","0.8725","126083","126083","126083","1","1","1","0.516","0.516","0.516","126083","126083","126083","0.998","0.998","0.998","0.8955","0.8955","0.8955","126083","126083","126083","1","1","1","0.7985","0.7985","0.7985","126083","126083","126083","1","1","1","0.878","0.878","0.878","126083","126083","126083","0.999","0.999","0.999","0.715","0.715","0.715","126083","126083","126083","0.999","0.999","0.999","0.9855","0.9855","0.9855","126083","126083","126083","1","1","1","0.3015","0.3015","0.3015","126083","126083","126083","0.999","0.999","0.999","0.935","0.935","0.935","126083","126083","126083","0.997","0.997","0.997","0.8395","0.8395","0.8395","126083","126083","126083","0.999","0.999","0.999","0.9335","0.9335","0.9335","126083","126083","126083","1","1","1","0.9385","0.9385","0.9385"
"129000","129085","129085","129085","1","1","1","0.91","0.91","0.91","129085","129085","129085","1","1","1","0.881","0.881","0.881","129085","129085","129085","0.999","0.999","0.999","0.9985","0.9985","0.9985","129085","129085","129085","0.998","0.998","0.998","0.9465","0.9465","0.9465","129085","129085","129085","1","1","1","0.88","0.88","0.88","129085","129085","129085","0.998","0.998","0.998","0.953","0.953","0.953","129085","129085","129085","1","1","1","0.7785","0.7785","0.7785","129085","129085","129085","1","1","1","0.652","0.652","0.652","129085","129085","129085","0.997","0.997","0.997","0.7505","0.7505","0.7505","129085","129085","129085","1","1","1","0.6955","0.6955","0.6955","129085","129085","129085","1","1","1","0.861","0.861","0.861","129085","129085","129085","0.998","0.998","0.998","0.727","0.727","0.727","129085","129085","129085","1","1","1","0.9135","0.9135","0.9135","129085","129085","129085","0.999","0.999","0.999","0.897","0.897","0.897","129085","129085","129085","1","1","1","0.992","0.992","0.992","129085","129085","129085","1","1","1","0.5135","0.5135","0.5135","129085","129085","129085","1","1","1","0.4675","0.4675","0.4675","129085","129085","129085","0.999","0.999","0.999","0.9575","0.9575","0.9575","129085","129085","129085","1","1","1","0.946","0.946","0.946","129085","129085","129085","0.998","0.998","0.998","0.953","0.953","0.953"
"132000","132087","132087","132087","0.999","0.999","0.999","0.9085","0.9085","0.9085","132087","132087","132087","1","1","1","0.7785","0.7785","0.7785","132087","132087","132087","1","1","1","0.95","0.95","0.95","132087","132087","132087","1","1","1","0.963","0.963","0.963","132087","132087","132087","0.999","0.999","0.999","0.5525","0.5525","0.5525","132087","132087","132087","1","1","1","0.9745","0.9745","0.9745","132087","132087","132087","0.998","0.998","0.998","0.9415","0.9415","0.9415","132087","132087","132087","1","1","1","0.6405","0.6405","0.6405","132087","132087","132087","1","1","1","0.67","0.67","0.67","132087","132087","132087","0.999","0.999","0.999","0.436","0.436","0.436","132087","132087","132087","1","1","1","0.973","0.973","0.973","132087","132087","132087","1","1","1","0.8055","0.8055","0.8055","132087","132087","132087","0.998","0.998","0.998","0.7825","0.7825","0.7825","132087","132087","132087","1","1","1","0.8445","0.8445","0.8445","132087","132087","132087","1","1","1","0.997","0.997","0.997","132087","132087","132087","1","1","1","0.559","0.559","0.559","132087","132087","132087","0.998","0.998","0.998","0.7165","0.7165","0.7165","132087","132087","132087","0.999","0.999","0.999","0.8825","0.8825","0.8825","132087","132087","132087","1","1","1","0.956","0.956","0.956","132087","132087","132087","0.999","0.999","0.999","0.9665","0.9665","0.9665"
"135000","135089","135089","135089","0.999","0.999","0.999","0.734","0.734","0.734","135089","135089","135089","0.998","0.998","0.998","0.642","0.642","0.642","135089","135089","135089","1","1","1","0.996","0.996","0.996","135089","135089","135089","1","1","1","0.936","0.936","0.936","135089","135089","135089","1","1","1","0.6585","0.6585","0.6585","135089","135089","135089","0.999","0.999","0.999","0.909","0.909","0.909","135089","135089","135089","0.999","0.999","0.999","0.9745","0.9745","0.9745","135089","135089","135089","1","1","1","0.8175","0.8175","0.8175","135089","135089","135089","0.998","0.998","0.998","0.798","0.798","0.798","135089","135089","135089","1","1","1","0.415","0.415","0.415","135089","135089","135089","1","1","1","0.9225","0.9225","0.9225","135089","135089","135089","0.999","0.999","0.999","0.804","0.804","0.804","135089","135089","135089","0.993","0.993","0.993","0.9685","0.9685","0.9685","135089","135089","135089","1","1","1","0.909","0.909","0.909","135089","135089","135089","0.999","0.999","0.999","0.998","0.998","0.998","135089","135089","135089","0.998","0.998","0.998","0.276","0.276","0.276","135089","135089","135089","1","1","1","0.871","0.871","0.871","135089","135089","135089","1","1","1","0.9895","0.9895","0.9895","135089","135089","135089","1","1","1","0.959","0.959","0.959","135089","135089","135089","1","1","1","0.8605","0.8605","0.8605"
"138000","138091","138091","138091","0.999","0.999","0.999","0.782","0.782","0.782","138091","138091","138091","0.997","0.997","0.997","0.77","0.77","0.77","138091","138091","138091","1","1","1","0.926","0.926","0.926","138091","138091","138091","1","1","1","0.8955","0.8955","0.8955","138091","138091","138091","0.999","0.999","0.999","0.6255","0.6255","0.6255","138091","138091","138091","0.997","0.997","0.997","0.972","0.972","0.972","138091","138091","138091","0.999","0.999","0.999","0.948","0.948","0.948","138091","138091","138091","0.999","0.999","0.999","0.821","0.821","0.821","138091","138091","138091","1","1","1","0.8325","0.8325","0.8325","138091","138091","138091","1","1","1","0.593","0.593","0.593","138091","138091","138091","1","1","1","0.7665","0.7665","0.7665","138091","138091","138091","0.999","0.999","0.999","0.8035","0.8035","0.8035","138091","138091","138091","1","1","1","0.9135","0.9135","0.9135","138091","138091","138091","0.999","0.999","0.999","0.8345","0.8345","0.8345","138091","138091","138091","1","1","1","0.998","0.998","0.998","138091","138091","138091","0.999","0.999","0.999","0.4975","0.4975","0.4975","138091","138091","138091","0.998","0.998","0.998","0.675","0.675","0.675","138091","138091","138091","1","1","1","0.892","0.892","0.892","138091","138091","138091","0.999","0.999","0.999","0.9295","0.9295","0.9295","138091","138091","138091","1","1","1","0.8705","0.8705","0.8705"
"141000","141093","141093","141093","1","1","1","0.614","0.614","0.614","141093","141093","141093","1","1","1","0.959","0.959","0.959","141093","141093","141093","0.999","0.999","0.999","0.9615","0.9615","0.9615","141093","141093","141093","1","1","1","0.952","0.952","0.952","141093","141093","141093","0.998","0.998","0.998","0.769","0.769","0.769","141093","141093","141093","0.999","0.999","0.999","0.9745","0.9745","0.9745","141093","141093","141093","0.999","0.999","0.999","0.812","0.812","0.812","141093","141093","141093","1","1","1","0.7495","0.7495","0.7495","141093","141093","141093","1","1","1","0.845","0.845","0.845","141093","141093","141093","0.999","0.999","0.999","0.247","0.247","0.247","141093","141093","141093","0.999","0.999","0.999","0.8775","0.8775","0.8775","141093","141093","141093","0.998","0.998","0.998","0.7995","0.7995","0.7995","141093","141093","141093","1","1","1","0.7665","0.7665","0.7665","141093","141093","141093","1","1","1","0.913","0.913","0.913","141093","141093","141093","1","1","1","0.9965","0.9965","0.9965","141093","141093","141093","0.999","0.999","0.999","0.3835","0.3835","0.3835","141093","141093","141093","0.998","0.998","0.998","0.8095","0.8095","0.8095","141093","141093","141093","1","1","1","0.8895","0.8895","0.8895","141093","141093","141093","0.999","0.999","0.999","0.937","0.937","0.937","141093","141093","141093","1","1","1","0.923","0.923","0.923"
"144000","144095","144095","144095","0.997","0.997","0.997","0.453","0.453","0.453","144095","144095","144095","0.998","0.998","0.998","0.8605","0.8605","0.8605","144095","144095","144095","1","1","1","0.9175","0.9175","0.9175","144095","144095","144095","1","1","1","0.829","0.829","0.829","144095","144095","144095","1","1","1","0.9015","0.9015","0.9015","144095","144095","144095","1","1","1","0.744","0.744","0.744","144095","144095","144095","0.999","0.999","0.999","0.9425","0.9425","0.9425","144095","144095","144095","1","1","1","0.7245","0.7245","0.7245","144095","144095","144095","1","1","1","0.6175","0.6175","0.6175","144095","144095","144095","0.999","0.999","0.999","0.35","0.35","0.35","144095","144095","144095","1","1","1","0.4235","0.4235","0.4235","144095","144095","144095","1","1","1","0.921","0.921","0.921","144095","144095","144095","1","1","1","0.835","0.835","0.835","144095","144095","144095","0.997","0.997","0.997","0.966","0.966","0.966","144095","144095","144095","1","1","1","0.9995","0.9995","0.9995","144095","144095","144095","0.998","0.998","0.998","0.4115","0.4115","0.4115","144095","144095","144095","1","1","1","0.8395","0.8395","0.8395","144095","144095","144095","1","1","1","0.9645","0.9645","0.9645","144095","144095","144095","0.996","0.996","0.996","0.9865","0.9865","0.9865","144095","144095","144095","0.996","0.996","0.996","0.8385","0.8385","0.8385"
"147000","147097","147097","147097","1","1","1","0.5495","0.5495","0.5495","147097","147097","147097","0.997","0.997","0.997","0.898","0.898","0.898","147097","147097","147097","0.999","0.999","0.999","0.9555","0.9555","0.9555","147097","147097","147097","1","1","1","0.98","0.98","0.98","147097","147097","147097","0.999","0.999","0.999","0.701","0.701","0.701","147097","147097","147097","0.998","0.998","0.998","0.697","0.697","0.697","147097","147097","147097","1","1","1","0.926","0.926","0.926","147097","147097","147097","0.999","0.999","0.999","0.856","0.856","0.856","147097","147097","147097","1","1","1","0.8255","0.8255","0.8255","147097","147097","147097","1","1","1","0.591","0.591","0.591","147097","147097","147097","1","1","1","0.8185","0.8185","0.8185","147097","147097","147097","0.999","0.999","0.999","0.975","0.975","0.975","147097","147097","147097","1","1","1","0.729","0.729","0.729","147097","147097","147097","0.999","0.999","0.999","0.8495","0.8495","0.8495","147097","147097","147097","0.998","0.998","0.998","0.997","0.997","0.997","147097","147097","147097","1","1","1","0.4255","0.4255","0.4255","147097","147097","147097","1","1","1","0.5885","0.5885","0.5885","147097","147097","147097","1","1","1","0.99","0.99","0.99","147097","147097","147097","1","1","1","0.986","0.986","0.986","147097","147097","147097","0.999","0.999","0.999","0.92","0.92","0.92"
"150000","150099","150099","150099","0.999","0.999","0.999","0.3065","0.3065","0.3065","150099","150099","150099","1","1","1","0.9615","0.9615","0.9615","150099","150099","150099","1","1","1","0.884","0.884","0.884","150099","150099","150099","1","1","1","0.8805","0.8805","0.8805","150099","150099","150099","0.999","0.999","0.999","0.635","0.635","0.635","150099","150099","150099","1","1","1","0.741","0.741","0.741","150099","150099","150099","1","1","1","0.9435","0.9435","0.9435","150099","150099","150099","1","1","1","0.717","0.717","0.717","150099","150099","150099","1","1","1","0.7805","0.7805","0.7805","150099","150099","150099","1","1","1","0.5245","0.5245","0.5245","150099","150099","150099","1","1","1","0.9945","0.9945","0.9945","150099","150099","150099","1","1","1","0.874","0.874","0.874","150099","150099","150099","0.999","0.999","0.999","0.6015","0.6015","0.6015","150099","150099","150099","0.999","0.999","0.999","0.6265","0.6265","0.6265","150099","150099","150099","0.999","0.999","0.999","0.9985","0.9985","0.9985","150099","150099","150099","0.999","0.999","0.999","0.577","0.577","0.577","150099","150099","150099","1","1","1","0.6795","0.6795","0.6795","150099","150099","150099","1","1","1","0.9795","0.9795","0.9795","150099","150099","150099","1","1","1","0.9815","0.9815","0.9815","150099","150099","150099","1","1","1","0.9135","0.9135","0.9135"
"153000","153101","153101","153101","1","1","1","0.2955","0.2955","0.2955","153101","153101","153101","1","1","1","0.948","0.948","0.948","153101","153101","153101","1","1","1","0.7435","0.7435","0.7435","153101","153101","153101","1","1","1","0.8875","0.8875","0.8875","153101","153101","153101","0.998","0.998","0.998","0.8675","0.8675","0.8675","153101","153101","153101","1","1","1","0.8215","0.8215","0.8215","153101","153101","153101","0.999","0.999","0.999","0.8175","0.8175","0.8175","153101","153101","153101","1","1","1","0.7835","0.7835","0.7835","153101","153101","153101","0.999","0.999","0.999","0.7895","0.7895","0.7895","153101","153101","153101","0.999","0.999","0.999","0.2945","0.2945","0.2945","153101","153101","153101","0.998","0.998","0.998","0.95","0.95","0.95","153101","153101","153101","1","1","1","0.803","0.803","0.803","153101","153101","153101","1","1","1","0.729","0.729","0.729","153101","153101","153101","1","1","1","0.749","0.749","0.749","153101","153101","153101","1","1","1","0.9995","0.9995","0.9995","153101","153101","153101","1","1","1","0.5215","0.5215","0.5215","153101","153101","153101","0.999","0.999","0.999","0.597","0.597","0.597","153101","153101","153101","1","1","1","0.9935","0.9935","0.9935","153101","153101","153101","0.999","0.999","0.999","0.9505","0.9505","0.9505","153101","153101","153101","1","1","1","0.6405","0.6405","0.6405"
"156000","156103","156103","156103","1","1","1","0.213","0.213","0.213","156103","156103","156103","1","1","1","0.8175","0.8175","0.8175","156103","156103","156103","0.999","0.999","0.999","0.9005","0.9005","0.9005","156103","156103","156103","1","1","1","0.954","0.954","0.954","156103","156103","156103","0.999","0.999","0.999","0.8","0.8","0.8","156103","156103","156103","1","1","1","0.8735","0.8735","0.8735","156103","156103","156103","1","1","1","0.721","0.721","0.721","156103","156103","156103","1","1","1","0.894","0.894","0.894","156103","156103","156103","1","1","1","0.8625","0.8625","0.8625","156103","156103","156103","1","1","1","0.4165","0.4165","0.4165","156103","156103","156103","1","1","1","0.9915","0.9915","0.9915","156103","156103","156103","1","1","1","0.799","0.799","0.799","156103","156103","156103","1","1","1","0.9195","0.9195","0.9195","156103","156103","156103","1","1","1","0.89","0.89","0.89","156103","156103","156103","1","1","1","0.9955","0.9955","0.9955","156103","156103","156103","0.995","0.995","0.995","0.386","0.386","0.386","156103","156103","156103","1","1","1","0.5395","0.5395","0.5395","156103","156103","156103","1","1","1","0.991","0.991","0.991","156103","156103","156103","0.998","0.998","0.998","0.912","0.912","0.912","156103","156103","156103","0.999","0.999","0.999","0.8085","0.8085","0.8085"
"159000","159105","159105","159105","1","1","1","0.615","0.615","0.615","159105","159105","159105","1","1","1","0.8995","0.8995","0.8995","159105","159105","159105","1","1","1","0.6985","0.6985","0.6985","159105","159105","159105","1","1","1","0.931","0.931","0.931","159105","159105","159105","0.999","0.999","0.999","0.86","0.86","0.86","159105","159105","159105","1","1","1","0.966","0.966","0.966","159105","159105","159105","0.999","0.999","0.999","0.829","0.829","0.829","159105","159105","159105","1","1","1","0.7945","0.7945","0.7945","159105","159105","159105","1","1","1","0.8255","0.8255","0.8255","159105","159105","159105","1","1","1","0.778","0.778","0.778","159105","159105","159105","0.997","0.997","0.997","0.894","0.894","0.894","159105","159105","159105","1","1","1","0.995","0.995","0.995","159105","159105","159105","1","1","1","0.7085","0.7085","0.7085","159105","159105","159105","0.999","0.999","0.999","0.823","0.823","0.823","159105","159105","159105","1","1","1","0.994","0.994","0.994","159105","159105","159105","1","1","1","0.5205","0.5205","0.5205","159105","159105","159105","1","1","1","0.5475","0.5475","0.5475","159105","159105","159105","1","1","1","0.98","0.98","0.98","159105","159105","159105","1","1","1","0.9565","0.9565","0.9565","159105","159105","159105","0.999","0.999","0.999","0.9255","0.9255","0.9255"
"162000","162107","162107","162107","1","1","1","0.693","0.693","0.693","162107","162107","162107","0.999","0.999","0.999","0.898","0.898","0.898","162107","162107","162107","1","1","1","0.821","0.821","0.821","162107","162107","162107","1","1","1","0.9595","0.9595","0.9595","162107","162107","162107","0.999","0.999","0.999","0.458","0.458","0.458","162107","162107","162107","0.999","0.999","0.999","0.824","0.824","0.824","162107","162107","162107","0.999","0.999","0.999","0.9475","0.9475","0.9475","162107","162107","162107","0.999","0.999","0.999","0.8215","0.8215","0.8215","162107","162107","162107","0.999","0.999","0.999","0.8375","0.8375","0.8375","162107","162107","162107","1","1","1","0.7865","0.7865","0.7865","162107","162107","162107","1","1","1","0.7615","0.7615","0.7615","162107","162107","162107","1","1","1","0.8","0.8","0.8","162107","162107","162107","1","1","1","0.779","0.779","0.779","162107","162107","162107","0.996","0.996","0.996","0.7825","0.7825","0.7825","162107","162107","162107","1","1","1","0.997","0.997","0.997","162107","162107","162107","1","1","1","0.231","0.231","0.231","162107","162107","162107","1","1","1","0.436","0.436","0.436","162107","162107","162107","1","1","1","0.9755","0.9755","0.9755","162107","162107","162107","1","1","1","0.995","0.995","0.995","162107","162107","162107","1","1","1","0.965","0.965","0.965"
"165000","165109","165109","165109","1","1","1","0.4715","0.4715","0.4715","165109","165109","165109","1","1","1","0.838","0.838","0.838","165109","165109","165109","1","1","1","0.93","0.93","0.93","165109","165109","165109","1","1","1","0.8765","0.8765","0.8765","165109","165109","165109","0.999","0.999","0.999","0.7045","0.7045","0.7045","165109","165109","165109","1","1","1","0.7485","0.7485","0.7485","165109","165109","165109","0.999","0.999","0.999","0.8465","0.8465","0.8465","165109","165109","165109","1","1","1","0.856","0.856","0.856","165109","165109","165109","0.999","0.999","0.999","0.8365","0.8365","0.8365","165109","165109","165109","1","1","1","0.741","0.741","0.741","165109","165109","165109","1","1","1","0.959","0.959","0.959","165109","165109","165109","1","1","1","0.994","0.994","0.994","165109","165109","165109","1","1","1","0.756","0.756","0.756","165109","165109","165109","1","1","1","0.8775","0.8775","0.8775","165109","165109","165109","1","1","1","0.986","0.986","0.986","165109","165109","165109","1","1","1","0.179","0.179","0.179","165109","165109","165109","1","1","1","0.363","0.363","0.363","165109","165109","165109","1","1","1","0.967","0.967","0.967","165109","165109","165109","1","1","1","0.993","0.993","0.993","165109","165109","165109","1","1","1","0.9595","0.9595","0.9595"
